Name,Comment
@codebasics,Check out our premium machine learning course with 2 Industry projects: https://codebasics.io/courses/machine-learning-for-data-science-beginners-to-advanced
@murthy1919,"Hello Sir, I am working as a production support engineer, now i would like to switch into AI carreer, can you suggest me should i take an AI enginner course?
I have an zero knowledge in the programming, thanks"
